Língua Portuguesa;Interpretação de Texto;Banca Padrão;Fácil;Um dos maiores desafios no ambiente corporativo é a comunicação clara. Muitos projetos falham não por falta de competência técnica, mas por ruídos na transmissão de ideias. A assertividade, nesse contexto, torna-se crucial. Segundo o texto:;A competência técnica é irrelevante para o sucesso de projetos.;A comunicação clara é um elemento secundário no ambiente corporativo.;Ruídos na comunicação podem comprometer a execução de projetos.;A assertividade é um obstáculo para a transmissão de ideias.;;c;Correto. O texto afirma que muitos projetos falham por ruídos na comunicação.;"Atenção aos termos-chave: \""desafios\"", \""falham\"", \""ruídos\"", \""crucial\"".";
Língua Portuguesa;Pontuação;Banca Padrão;Médio;Assinale a alternativa em que o uso da vírgula está INCORRETO:;O gerente, após analisar os relatórios, tomou a decisão.;Oferecemos cursos de inglês, espanhol, e francês.;Embora chegasse atrasado, conseguiu fechar o negócio.;Ele, que sempre foi pontual, surpreendeu a todos.;;b;"Correto. A vírgula antes do \""e\"" em enumeração é incorreta (não se separa o último termo de uma lista com vírgula antes do \""e\"").";"Lembre-se: na enumeração, não se usa vírgula antes do \""e\"" a menos que os termos sejam independentes.";
Língua Portuguesa;Regência Verbal;Banca Padrão;Médio;Assinale a alternativa em que a regência verbal está de acordo com a norma padrão:;O cliente aspira uma vaga no mercado de trabalho.;Precisamos de obedecer às regras do edital.;Todos anseiam por melhores oportunidades.;A empresa remeteu os produtos ao cliente.;;c;"Correto. \""Ansiar\"" é verbo transitivo indireto, regido pela preposição \""por\"".";"Verbos de desejo como \""aspirar\"", \""ansiar\"", \""almejar\"" geralmente exigem preposição.";
Língua Portuguesa;Crase;Banca Padrão;Médio;Assinale a alternativa em que o uso do acento indicativo de crase é OBRIGATÓRIO:;Refiro-me àquele documento importante.;Vamos à São Paulo na próxima semana.;Ele chegou às pressas para a reunião.;A reunião será às 14 horas.;;d;Correto. Antes de horas é obrigatório o uso do acento indicativo de crase.;"Antes de palavras femininas e indicação de horas, verifique se há a contração \""a + a\"".";
Matemática;Funções;Banca Padrão;Fácil;Dada a função f(x) = 2x² - 3x + 1, qual é o valor de f(2)?;3;5;7;9;;a;Correto. f(2) = 2(2)² - 32 + 1 = 24 - 6 + 1 = 8 - 6 + 1 = 3;Substitua x pelo valor dado (2) e calcule passo a passo.;f(x) = 2x² - 3x + 1
Matemática;Equações;Banca Padrão;Fácil;Qual é o conjunto solução da equação 2x - 4 = 3x + 1?;{-5};{5};{-3};{3};;a;Correto. 2x - 4 = 3x + 1 → 2x - 3x = 1 + 4 → -x = 5 → x = -5;Isole a incógnita x em um lado da equação.;2x - 4 = 3x + 1 → -x = 5 → x = -5
Matemática;Funções;Banca Padrão;Fácil;Seja f(x) = 3x - 1. Qual é a raiz da função?;1/3;-1/3;3;-3;;a;Correto. Raiz é quando f(x)=0: 3x - 1 = 0 → 3x = 1 → x = 1/3;Iguale a função a zero e resolva a equação.;f(x) = 0 quando 3x - 1 = 0
Matemática;Sistemas Lineares;Banca Padrão;Médio;Qual é a solução do sistema: 2x + y = 7 e x - y = 2?;(3,1);(1,3);(2,3);(3,2);;a;Correto. Somando as equações: 3x = 9 → x = 3. Substituindo: 3 - y = 2 → y = 1;Some as duas equações para eliminar y e encontrar x.;2x + y = 7 E x - y = 2
Raciocínio Lógico;Lógica Proposicional;Banca Padrão;Fácil;"A negação de \""Todo bancário é pontual\"" é:";Nenhum bancário é pontual.;Algum bancário não é pontual.;Todo bancário não é pontual.;Algum bancário é pontual.;;b;"Correto. A negação de \""todo A é B\"" é \""algum A não é B\"".";"Para negar \""todo\"", basta encontrar um contraexemplo (\""algum... não\"").";
Raciocínio Lógico;Raciocínio Sequencial;Banca Padrão;Médio;Qual é o próximo termo da sequência: 2, 6, 12, 20, 30, ...?;40;42;44;46;;b;Correto. As diferenças são 4,6,8,10, então próxima diferença é 12: 30+12=42;Analise as diferenças entre termos consecutivos.;Padrão: n×(n+1) onde n=1,2,3,...
Atualidades do Mercado Financeiro;Sistema Financeiro;Banca Padrão;Fácil;Qual é o principal índice de inflação monitorado pelo Banco Central para o regime de metas de inflação?;IPCA;INPC;IGP-M;IPCA-15;;a;Correto. O IPCA (Índice de Preços ao Consumidor Amplo) é o índice oficial para o regime de metas de inflação.;O Banco Central tem como meta oficial o IPCA.;
Atualidades do Mercado Financeiro;Política Monetária;Banca Padrão;Médio;Quando o COPOM aumenta a taxa Selic, qual é o efeito esperado sobre a economia?;Estímulo ao consumo e ao crédito.;Contração da atividade econômica e controle inflacionário.;Desvalorização do câmbio.;Aumento imediato da inflação.;;b;Correto. A alta da Selic visa frear a demanda para controlar a inflação.;Selic alta = crédito caro = consumo reduzido = inflação controlada.;
Matemática Financeira;Juros Simples;Banca Padrão;Fácil;Um capital de R$ 1.000,00 é aplicado a juros simples de 2% ao mês. Qual será o montante após 5 meses?;R$ 1.100,00;R$ 1.200,00;R$ 1.020,00;R$ 1.102,00;;a;Correto. J = C × i × t = 1000 × 0,02 × 5 = 100. M = C + J = 1000 + 100 = 1100;Juros simples: os juros são constantes a cada período.;J = C × i × t E M = C + J
Matemática Financeira;Juros Compostos;Banca Padrão;Médio;Qual o montante de R$ 2.000,00 aplicado a juros compostos de 3% ao mês por 2 meses?;R$ 2.120,00;R$ 2.121,80;R$ 2.060,00;R$ 2.180,00;;b;Correto. M = C × (1+i)^t = 2000 × (1,03)^2 = 2000 × 1,0609 = 2121,80;"Juros compostos: \""juros sobre juros\"". Use a fórmula do montante.";M = C × (1+i)^t
Conhecimentos Bancários;Sistema Financeiro Nacional;Banca Padrão;Fácil;Qual instituição é responsável pela supervisão do Sistema Financeiro Nacional?;Banco Central do Brasil;Comissão de Valores Mobiliários (CVM);Conselho Monetário Nacional (CMN);Superintendência de Seguros Privados (SUSEP);;a;Correto. O BACEN é o supervisor do SFN.;BACEN = executor e supervisor E CMN = formulador de políticas.;
Conhecimentos Bancários;Produtos Bancários;Banca Padrão;Fácil;Qual produto financeiro NÃO é considerado uma aplicação de renda fixa?;CDB;LCI;LCA;Ações;;d;Correto. Ações são investimentos de renda variável.;Renda fixa = retorno previsível E Renda variável = retorno incerto.;
Informática;Segurança da Informação;Banca Padrão;Fácil;Qual desses NÃO é um exemplo de malware?;Firewall;Vírus;Worm;Trojan;;a;Correto. Firewall é um sistema de segurança, não um malware.;Malware = software malicioso E Firewall = sistema de defesa.;
Informática;Planilhas Eletrônicas;Banca Padrão;Fácil;"Na função =SE(A1>10,\""Aprovado\"",\""Reprovado\"") do Excel, o que acontece se A1 for igual a 15?";"Retorna \""Aprovado\""";"Retorna \""Reprovado\""";Retorna VERDADEIRO;Retorna FALSO;;a;"Correto. 15 > 10 é VERDADEIRO, então retorna o primeiro valor (\""Aprovado\"").";Função SE: =SE(teste_lógico, valor_se_verdadeiro, valor_se_falso);
Vendas e Negociação;Técnicas de Vendas;Banca Padrão;Médio;Qual técnica de vendas envolve responder a uma objeção do cliente transformando-a em uma razão para comprar?;Método SPIN;Técnica do Feel-Felt-Found;Método LAER;Técnica da Boomerangue;;d;"Correto. A técnica da Boomerangue \""devolve\"" a objeção como benefício.";Boomerangue = devolver a objeção como vantagem.;
Vendas e Negociação;Comportamento do Consumidor;Banca Padrão;Fácil;Na jornada de compra, qual etapa caracteriza o momento em que o cliente reconhece que tem um problema ou necessidade?;Consciência;Consideração;Decisão;Fidelização;;a;Correto. Fase inicial onde o cliente percebe uma necessidade.;Primeiro: perceber o problema, depois: buscar soluções.;
Psicologia;Gestão de Pessoas;Banca Padrão;Fácil;Qual teoria motivacional propõe que as pessoas são motivadas por cinco necessidades hierárquicas?;Teoria dos Dois Fatores (Herzberg);Teoria X e Y (McGregor);Hierarquia das Necessidades (Maslow);Teoria da Expectância (Vroom);;c;Correto. Maslow propõe a pirâmide com necessidades fisiológicas, segurança, sociais, estima e autorrealização.;Pirâmide de Maslow: base (fisiológicas) até topo (autorrealização).;
Psicologia;Saúde Mental;Banca Padrão;Médio;Qual é um sintoma característico da Síndrome de Burnout?;Aumento da produtividade;Sentimentos de energia e realização;Exaustão emocional e cinismo;Humor elevado e eufórico;;c;Correto. A tríade do Burnout é exaustão, cinismo e redução da eficácia profissional.;Burnout está relacionado ao estresse crônico no trabalho.;
Matemática;Funções Quadráticas;Banca Padrão;Médio;Qual é o vértice da parábola definida por f(x) = x² - 4x + 3?;(2, -1);(-2, 15);(1, 0);(4, 3);;a;Correto. Xv = -b/2a = 4/2 = 2, Yv = f(2) = 4 - 8 + 3 = -1;Vértice: Xv = -b/2a, Yv = f(Xv);Xv = -b/2a, Yv = -Δ/4a
Raciocínio Lógico;Lógica de Argumentação;Banca Padrão;Difícil;"Considere o argumento: \""Todos os mamíferos têm pulmões. Alguns animais aquáticos são mamíferos. Logo, alguns animais aquáticos têm pulmões.\"" Este argumento é:";Válido;Inválido;Indeterminado;Contraditório;;a;Correto. Segue a estrutura do silogismo válido: Todo M é P, Algum S é M, Logo, algum S é P.;Analise a estrutura usando diagramas de Venn ou regras do silogismo.;
Informática;Planilhas Eletrônicas;Banca Padrão;Fácil;Na função =SE(A1>10;"\""Aprovado\""";"\""Reprovado\"") do Excel, o que acontece se A1 for igual a 15?";"Retorna \""Aprovado\""";"Retorna \""Reprovado\""";;c;"Correto. 15 > 10 é VERDADEIRO, então retorna o primeiro valor (\""Aprovado\"").";;
Psicologia;Saúde Mental;Banca Padrão;Fácil;O transtorno de ansiedade generalizada se caracteriza por:;Ansiedade restrita ao ambiente de trabalho.;Crises passageiras, com largo intervalo entre episódios.;Preocupação excessiva e persistente, mesmo sem motivo claro.;Impossibilidade de tratamento.;;c;C descreve corretamente as características.;Observe se a alternativa traz abrangência e persistência da ansiedade.;
Psicologia;Saúde Mental;Banca Padrão;Fácil;Uma característica fundamental de um ambiente de trabalho saudável é:;Cobrança excessiva de metas.;Estímulo à competitividade acima do bem-estar.;Valorização do equilíbrio entre as demandas e a qualidade de vida.;Foco exclusivo no resultado financeiro.;;c;D desconsidera questões humanas.;;
Psicologia (Gestão);Clima Organizacional;Banca Padrão;Fácil;O que melhor define o conceito de clima organizacional?;As regras formais e a estrutura hierárquica da empresa.;A percepção dos colaboradores sobre o ambiente de trabalho.;A estrutura física do local de trabalho.;A quantidade de benefícios oferecidos.;;b;Percepção dos colaboradores sobre ambiente é conceito correto.;Procure noção de percepção coletiva e ambiente interno.;
Língua Portuguesa;Colocação Pronominal;Banca Padrão;Médio;Assinale a alternativa em que a colocação do pronome oblíquo átono está INCORRETA:;Não lhe direi a verdade.;Me empresta o livro.;Quero contar-lhe um segredo.;Haviam-no chamado para a festa.;;b;Incorreto. Não se inicia frase com pronome oblíquo átono (correto: Empresta-me).;Regra geral: evite iniciar frases com 'me', 'te', 'se', 'lhe', 'o', 'a', 'nos', 'vos'.;
Direito Administrativo;Contratos Administrativos;Banca Padrão;Médio;Uma das características dos contratos administrativos é a presença de 'cláusulas exorbitantes'. Qual das seguintes NÃO é uma cláusula exorbitante?;Exigência de garantia.;Aplicação de sanções.;Alteração unilateral do contrato.;Rescisão unilateral.;;a;Correto. Exigência de garantia é comum também em contratos privados.;Cláusulas exorbitantes dão prerrogativas à Administração que não existem em contratos privados.;
Raciocínio Lógico;Verdades e Mentiras;Banca Padrão;Difícil;Três suspeitos, A, B e C, são interrogados. A diz: 'B mente'. B diz: 'C mente'. C diz: 'A e B mentem'. Sabendo que apenas um deles diz a verdade, quem diz a verdade?;A;B;C;Impossível determinar.;;b;Se B fala a verdade, C mente. Se C mente, é falso que 'A e B mentem' (pelo menos um fala a verdade). Como B fala a verdade, A deve mentir. Isso é consistente.;;
Direito Constitucional;Direitos Sociais;Banca Padrão;Fácil;Qual dos seguintes direitos NÃO está expressamente previsto no Art. 6º da Constituição Federal como um direito social?;Moradia;Transporte;Meio ambiente equilibrado;Lazer;;c;Correto. Meio ambiente equilibrado é um direito fundamental (Art. 225), mas não listado no Art. 6º.;Leia atentamente o Art. 6º da CF/88.;Art. 6º da CF/88
Matemática;Álgebra (Produtos Notáveis);Banca Padrão;Fácil;O produto notável (a + b)² é igual a:;a² + b²;a² - b²;a² + 2ab + b²;a² - 2ab + b²;;c;Correto. É o 'quadrado do primeiro, mais duas vezes o primeiro pelo segundo, mais o quadrado do segundo'.;Lembre-se da regra ou faça a distributiva: (a+b)(a+b) = aa + ab + ba + bb.;(a + b)² = a² + 2ab + b²
Psicologia (Gestão);Recrutamento e Seleção;Banca Padrão;Fácil;O tipo de entrevista em que o entrevistador faz perguntas padronizadas, na mesma ordem, para todos os candidatos, é chamado de:;Entrevista não estruturada;Entrevista semiestruturada;Entrevista estruturada;Entrevista por competências;;c;Correto. Estruturada segue um roteiro rígido para garantir comparação.;Estruturada = Rígida, Padronizada.;
Atualidades;Política Brasileira;Banca Padrão;Fácil;Em 2024, qual estado brasileiro foi severamente afetado por enchentes históricas, mobilizando grande ajuda nacional?;Santa Catarina;Rio Grande do Sul;Bahia;Minas Gerais;;b;Correto. O Rio Grande do Sul enfrentou a maior catástrofe climática de sua história em 2024.;Eventos climáticos extremos têm sido recorrentes no Brasil.;
Língua Portuguesa;Conjunções;Banca Padrão;Fácil;Qual conjunção introduz uma ideia de CONCLUSÃO?;Embora;Portanto;Contudo;Ou;;b;Correto. 'Portanto', 'logo', 'assim', 'então' são conclusivas.;Pense: 'Estudei muito, PORTANTO, fui aprovado' (conclusão).;
Direito Administrativo;Organização Administrativa;Banca Padrão;Médio;Uma autarquia, como o INSS ou o IBAMA, faz parte da:;Administração Direta;Administração Indireta;Iniciativa Privada;Terceiro Setor;;b;Correto. Administração Indireta compreende as entidades com personalidade jurídica própria criadas pelo Estado (Autarquias, Fundações Públicas, Empresas Públicas, Sociedades de Economia Mista).;Indireta = Entidades criadas pelo Estado, mas com 'vida própria' (CNPJ próprio).;
Raciocínio Lógico;Implicação Lógica;Banca Padrão;Médio;Se a proposição 'P -> Q' (Se P, então Q) é FALSA, podemos concluir que:;P é V e Q é V;P é V e Q é F;P é F e Q é V;P é F e Q é F;;b;Correto. A única forma de uma condicional ser falsa é se a primeira parte (P) for Verdadeira e a segunda (Q) for Falsa (Regra do 'Vera Fischer').;Lembre-se da regra 'V -> F = F'. Todas as outras combinações dão V.;
Direito Constitucional;Teoria da Constituição;Banca Padrão;Médio;O poder que elabora uma nova Constituição, rompendo com a ordem jurídica anterior, é chamado de:;Poder Constituinte Derivado Reformador;Poder Constituinte Derivado Decorrente;Poder Constituinte Originário;Poder Constituinte Difuso;;c;Correto. Originário (ou de 1º grau) é o que cria a Constituição.;Originário = Cria a Constituição. Derivado = Modifica a Constituição.;
Matemática;Análise Combinatória;Banca Padrão;Difícil;De quantas maneiras diferentes 3 pessoas podem sentar em 5 cadeiras?;6;10;15;60;;d;Correto. É um arranjo (a ordem importa). A(n, p) = n! / (n-p)! = 5! / (5-3)! = 5! / 2! = (5*4*3*2*1) / (2*1) = 120 / 2 = 60.;Como a ordem das pessoas nas cadeiras importa, usamos Arranjo.;A(n, p) = n! / (n-p)!
